Name,ICAO,IATA,CallSign,Country,Founded,Destinations,Fleet Size
Mars RK,MRW,6V,AVIAMARS,Ukraine,2001,,2
PSA Airlines,JIA,OH,BLUE STREAK,United States,1980,68,80
TACV,TCV,VR,CABOVERDE,Cape Verde,1958,25,6
Aerolíneas Sosa,NSO,P4,SOSA,Honduras,1984,8,10
All Nippon Airways,ANA,NH,ALL NIPPON,Japan,1952,73,205
Central Mountain Air,GLR,9M,GLACIER,Canada,1987,18,19
Key Lime Air,LYM,KG,KEY LIME,,1997,,35
Marsland Aviation,MSL,M7,MARSLANDAIR,Sudan,2001,10,3
Pskovavia,PSW,,PSKOVAVIA,,1944,22,4
Sibia (Airline),SBD,,SIBIA,,1991,,
BAL Bashkirian Airlines,BTC,V9,BRAVO TANGO CHARLIE,,1991,,22
Keystone Air Service,KEE,BZ,KEYSTONE,Canada,1985,,6
Martinair,MPH,MP,MARTINAIR,Netherlands,1958,32,8
Sichuan Airlines,CSC,3U,SICHUAN,China,1986,67,106
Dutch Caribbean Airlines,DCE,K8,DUTCH CARIBBEAN,,2002,17,15
FMI Air,FMI,ND,FMI AIR,,2012,21,4
IndiGo,IGO,6E,IFLY,India,2006,39,97
Martinaire,MRA,,MARTEX,,1978,,29
Allegiance Air,ANJ,,AIR ALLEGIANCE,,,,5
MasAir,MAA,M7,MAS CARGA,Mexico,1992,,2
Allegiant Air,AAY,G4,ALLEGIANT,United States,1997,109,81
Balkan Bulgarian Airlines,LAZ,LZ,BALKAN,,1947,,150
Fonnafly,NOF,,FONNA,,1970,,8
MASkargo,MAS,MH,MALAYSIAN,,1972,11,6
Sierra National Airlines,SLA,LJ,SIERRA NATIONAL AIRLINES,Sierra Leone,1990,5,1
TAESA,TEJ,GD,TRANSEJECUTIVOS,,,,30
Air Macau,AMU,NX,AIR MACAU,China,1994,23,16
Chabahar Airlines,IRU,,CHABAHAR,,,,18
Dynamic Airlines,DYE,,DYNAMIC,,1980,,6
Indonesia Air Transport,IDA,I8,INTRA,Indonesia,1968,3,21
Khors Air,KHO,KO,KHORS AIRCOMPANY,Ukraine,1990,2,21
Sierra Pacific Airlines,SPA,SI,SIERRA PACIFIC,United States,1971,,2
Veca Airlines,VAR,VU,VECA,,2014,3,2
Aeromar,TAO,VW,AEROMAR,Mexico,1987,21,18
Air Madagascar,MDG,MD,AIR MADAGASCAR,Madagascar,1962,36,9
Alliance Airlines,UTY,QQ,UNITY,Australia,2002,42,35
Bangkok Airways,BKP,PG,BANGKOK AIR,Thailand,1968,23,29
Chalair Aviation,CLG,CE,CHALLAIR,,1986,8,10
Dynamic Airways,DYA,,DYNAMIC AIR,,2010,,5
Indonesia AirAsia,AWQ,QZ,WAGON AIR,Indonesia,2004,16,29
Khyber Afghan Airlines,KHY,,KHYBER,,,,
MASwings,MWG,MH,MASWINGS,Malaysia,2007,22,20
Northern Air (Canada),,,,,1984,3,9
Punto Azul,PUN,ZR,PUNTO AZUL,,2013,4,3
Silk Way Airlines,AZQ,ZP,SILK LINE,Azerbaijan,2001,20,18
Allied Air,AJK,,BAMBI,,1998,,3
Eagle Air (Iceland),FEI,,ARCTIC EAGLE,,,5,6
Indonesia AirAsia X,IDX,XT,RED PHOENIX,,2014,2,2
Kingfisher Airlines,KFR,IT,KINGFISHER,India,,25,22
SilkAir,SLK,MI,SILKAIR,Singapore,1976,51,30
Venezolana,VNE,VN,VENEZOLANA,,2001,11,3
Bar XH Air,BXH,,PALLISER,,,,4
Challenge Aero,CHG,,SKY CHALLENGER,,2002,,7
Eagle Air (Sierra Leone),EGR,,EAGLE SIERRA,,,,1
Northern Thunderbird Air,NTA,,THUNDERBIRD,,1971,10,10
Qantas,QFA,QF,QANTAS,,1920,85,131
Silver Air,SVJ,,,,2008,20,14
Vensecar Internacional,VEC,V4,VECAR,Venezuela; Bolivarian Republic of,1996,8,4
Aeroméxico,AMX,AM,AEROMEXICO,Mexico,1988,58,69
Barents AirLink,NKF,8N,NORDFLIGHT,Sweden,1974,3,
Eagle Air (Tanzania),EFL,EY,FLYING EAGLE,,,,
Fred Olsen Air Transport,FOF,FO,FREDOLSEN,,,,
Kingfisher Red,DKN,DN,DECCAN,India,,,11
Mauritania Airlines International,MAI,L6,MAURITANIA AIRWAYS,,2010,10,4
Northwest Air Base,,,,,2007,2,134
Qantas Freight,QFA,QF,QANTAS,Australia,2001,50,12
Silver Air (Czech Republic),SLD,,SILVERLINE,,1995,,
Veritair,,,VERITAIR,,1982,,4
Aeroméxico Connect,SLI,5D,COSTERA,Mexico,1988,55,63
AlMasria Universal Airlines,LMU,UJ,ALMASRIA,,2008,8,4
Barkol Airlines,BKL,,BARKOL,,1996,,51
Cham Wings Airlines,SAW,,SHAMWING,,2007,12,2
Eagle Air (Uganda),EGU,H7,AFRICAN EAGLE,Uganda,1994,18,7
Inland Pacific Air,UNK,,UNK,,,2,2
QantasLink,QLK,QF,Q-LINK/Q-JET,,2002,56,81
Silver Airways,SIL,3M,SILVER WINGS,,2010,28,28
Tailwind Air Service,,,,,2014,6,2
Vertir Airlines,VRZ,,VERTIR,,2009,,2
Eagle Airways,EAG,NZ,EAGLE,New Zealand,1969,12,14
Free Airlines,,,,,,,
Insel Air,INC,7I,INSEL ARUBA,Sint Maarten (Dutch part),1993,22,18
Northwestern Air,PLR,J3,POLARIS,Canada,1965,9,14
Qatar Airways,QTR,QR,QATARI,Qatar,1993,151,161
Tailwind Airlines,TWI,TI,TAILWIND,,,40,7
Veteran Avia,VTF,,VETFLIGHT,,2009,,1
Air Mali (2005),CMM,I5,CAMALI,Mali,2009,16,3
Al-Naser Airlines,MHK,NR,AL-NASER,,2005,9,7
Baron Aviation Services,BVN,,SHOW-ME,,1973,,30
Eagle Atlantic Airlines,EAB,E2,,,2013,5,1
Freebird Airlines,FHY,FH,FREEBIRD AIR,Turkey,2000,38,10
Max Air,NGL,VM,,,2008,,5
North-Wright Airways,NWL,HW,NORTHWRIGHT,Canada,1986,8,24
Qatar Amiri Flight,QAF,,AMIRI,,1977,,13
Taimyr Air Company,TYA,Y7,TAIMYR,,,,14
Air Malta,AMC,KM,AIR MALTA,Malta,1973,37,10
Barrier Air,GBA,,BARRIER,,1983,8,9
Chanchangi Airlines,NCH,3U,CHANCHANGI,Nigeria,1994,3,2
Freedom Air (Guam),FRE,FP,FREEDOM,Guam,1974,4,6
Kish Air,KIS,Y9,KISHAIR,Iran; Islamic Republic of,1989,18,10
Qatar Executive,QQE,QE,QREX,,2009,,6
VI Airlink,VIL,V6,TURTLE DOVE,,,,3
Aeronáutica (Angola),GGL,,GIRA GLOBO,,2001,,3
Bassaka Air,BSX,,BASSAKA,,2013,,2
Chang An Airlines,CGN,,CHANGAN,,1992,,4
Eaglexpress,EZX,,EAGLEXPRESS AIR,,2011,,4
Integra Air,AII,,PALISER,,1998,3,8
MAXavia,MAI,,,,2006,,1
Qazaq Air,,IQ,,,2015,12,1
Tajik Air,TJK,,TAJIKAIR,,1923,19,15
ViaAir,SRY,VC,STINGRAY,,2014,,
Aeronaves Dominicanas,,,AROMCA,,1980,14,7
Air Mandalay,AMY,,AIR MANDALAY,,1994,12,3
Chang'an Airlines,CGN,2Z,CHANGAN,China,,,4
Earth Airlines,ERX,,EARTH AIR,,,,1
Freedom Air Services,FFF,,INTER FREEDOM,,1998,,3
Qeshm Air,IRQ,,QESHM AIR,,,,4
TAM,,,,,1945,4,8
Aeronaves TSM,VTM,,AERONAVES,,1995,,49
Alpine Air Express,AIP,5A,ALPINE AIR,United States,1972,15,26
Batik Air,BTK,ID,BATIK,,2013,26,31
Inter European Airways,IEA,IP,ASPRO,,1987,,12
Kivalliq Air,,FK,,,1998,2,14
Norwegian Air Shuttle,NAX,DY,NOR SHUTTLE,Norway,1993,126,103
Qeshm Airlines,IRQ,QB,QESHM AIR,,1993,22,20
Silverline Helicopters,,,,,1999,,
ALROSA (airline),DRU,,MIRNY,,2000,11,53
Inter Islands Airlines,IIN,H4,,,,,
Kivu Air,YES,,,,1997,,4
Maya Island Air,MYD,MY,MYLAND,Belize,1962,12,13
Norwegian Air Shuttle / Norwegian Long Haul tail art,NAX,DU,NOR SHUTTLE,,,,
Qingdao Airlines,QDA,QW,SKY LEGEND,,,5,
Simargl Air Company,,,,,1997,,10
TAM Airlines,TAM,JJ,TAM,Brazil,1976,63,167
Air Marshall Islands,MRS,CW,MARSHALL ISLANDS,,1980,6,2
Alrosa Mirny Air Enterprise,DRU,6R,MIRNY,Russian Federation,,18,53
East African Air,,,EAA,,2008,,4
Freight Runners Express,FRG,,FREIGHT,,1985,,21
MAYAir,MYI,7M,MAYAIR,,1994,,
Norwegian Long Haul,,DU,NORSTAR,,2012,9,8
TAM Airlines (Paraguay),LAP,PZ,PARAGUAYA,Paraguay,1962,8,5
Alrosa-Avia,LRO,,ALROSA,,1992,,2
Inter Trans Avia,ITD,Y5,SEITEK,,,,
Kiwi Regional Airlines,KRL,,KIWI,,2014,4,1
Mayan World Airlines,MYN,EY,MAYAN WORLD,,,,
Nouvelair,LBT,BJ,NOUVELAIR,Tunisia,1989,25,13
Simrik Airlines,RMK,,,,2009,5,
Viasa,VIA,VA,VIASA,,,46,
Air Mauritius,MAU,MK,AIRMAURITIUS,Mauritius,,20,12
ALS,,K4,,,,,27
BB Airways,BBW,BO,BEEBEE AIRWAYS,,2012,3,1
Charter Air Transport,SRY,VC,STINGRAY,,1997,,5
East African Airways,JND,EC,EASTAF,,1946,,
Frontier Airlines,FFT,F9,FRONTIER FLIGHT,United States,1994,55,57
Interair South Africa,ILN,D6,INLINE,South Africa,1993,8,4
Nouvelle Air Affaires Gabon,NVS,SG,NOUVELLE AFFAIRES,,1975,,4
Singapore Airlines,SIA,SQ,SINGAPORE,Singapore,1947,64,108
Vibroair,VIB,,VITUS,,,,3
East African Safari Air,EXZ,B5,DUMA,,1989,4,4
Kiwijet,,,,,2007,,
Mayoral Executive Jet,MYO,,MAYORAL,,,,6
TAME,TAE,EQ,TAME,,1962,25,21
Vieques Air Link,VES,V4,VIEQUES,Puerto Rico,,10,
Air Méditerranée,BIE,ML,MEDITERRANEE,France,1997,50,7
Alsie Express,,,,,2013,,2
Bearskin Airlines,BLS,JV,BEARSKIN,Canada,1963,12,16
CHC Airways,SCH,AW,SCHREINER,Netherlands,1945,,6
East Air,ETJ,EG,EAST TAJIK,,,,4
Frontier Flying Service,FTA,2F,FRONTIER-AIR,United States,1950,,7
KLM,KLM,KL,KLM,Netherlands,1919,138,115
MCA Airlines,MCA,,CALSON,,2008,12,4
Nova Airline,NOV,O9,NOVANILE,,2000,,6
Sirius-Aero,CIG,,SIRIUS AERO,,1999,,5
Tamir Airways,TMI,,TAMIRWAYS,,,2,2
VietJet Air,VJC,VJ,VIETJET,,2007,33,24
Alta Flights,ALZ,,,,1986,,18
Bechuanaland National Airways,FRW,,,,1965,,
CHC Helikopter Service,HKS,L5,HELIBUS,Norway,1956,,28
FS Air Service,EYE,4A,SOCKEYE,United States,1986,,1
KLM Cityhopper,KLC,WA,CITY,Netherlands,1991,44,47
Nova Airways,NOV,O9,NOVANILE,,2000,8,5
Sita Air,,ST,,,2003,,3
Vietnam Air Service Company,VFC,,VASCO AIR,,,6,2
Air Memphis,MHS,,AIR MEMPHIS,,,,1
Beijing Capital Airlines,CBJ,JD,CAPITAL JET,,1995,,57
Eastar Jet,ESR,ZE,EASTARJET,,2007,14,8
Fuji Dream Airlines,FDA,JH,FUJI DREAM,,2008,9,8
InterCaribbean Airways,IWY,JY,ISLANDWAYS,,1992,13,14
Novair,NVR,N9,NAVIGATOR,Sweden,1997,45,4
Skippers Aviation,,JW,,,1990,10,27
Tandem Aero,TDM,TQ,TANDEM,Moldova; Republic of,1998,1,1
Vietnam Air Services Company,VFC,,VASCO AIR,,1987,6,2
Aluu Airlines,,,,,2015,5,
Bek Air,BEK,Z9,BEKAIR,United States,,19,7
Chengdu Airlines,UEA,EU,HIBISCUS CITY,China,2004,27,19
Eastern Air,EAZ,X7,EASAIR,,,,
TANS Perú,ELV,TJ,AEREOS SELVA,,,11,
Vietnam Airlines,HVN,VN,VIET NAM AIRLINES,Viet Nam,1956,52,94
Belair (airline),BHP,4T,BELAIR,Switzerland,1925,38,9
Chhattisgarh Air Link,CJS,CG,CHHATTISGARH AIR,,,,
K-Mile Air,KMI,,KAY-MILE AIR,,2006,,1
Med Airlines,,,,,,8,5
Novoair,NVQ,VQ,NOVOAIR,,2012,5,3
Skol Airlines,CDV,CD,SKOL,,2000,,35
Tanzanair,,,,,1969,,11
Belau Air,,,,,1989,,1
Eastern Air Lines (2015),EAL,EA,EASTERN,,2011,3,3
Interisland Airlines,ISN,I4,TRI-BIRD,,1986,4,6
Med Airways,MED,,FLYING CARPET,,2000,7,8
Queensland Regional Airlines,,Q7,,,2003,3,4
Sky Airline,SKU,H2,AEROSKY,Chile,2001,20,16
TAP Portugal,TAP,TP,AIR PORTUGAL,Portugal,1945,88,77
Amakusa Airlines,AHX,,AMAKUSA AIR,,1998,4,1
Belavia,BRU,B2,BELARUS AVIA,Belarus,1996,40,32
Eastern Airways,EZE,T3,EASTFLIGHT,United Kingdom,1997,21,29
Fuzhou Airlines,FZA,FU,STRAIT AIR,,,,3
Quick Airways Holland,QAH,,QUICK,,,,
Taquan Air,TQN,K3,TAQUAN,,1977,16,8
Aéro-Service,RSR,BF,CONGOSERV,Congo; the Democratic Republic of the,1967,,5
Air Moldova,MLD,9U,AIR MOLDOVA,Moldova; Republic of,1993,24,6
Amapola Flyg,APF,,AMAPOLA,,2004,,12
Chim-Nir Aviation,ETN,,CHIMNIR,,,,14
Eastern Australia Airlines,EAQ,QF,Q LINK,Australia,1949,16,19
Interjet,AIJ,4O,INTERJET,Mexico,2005,47,57
Kogalymavia,KGL,7K,KOGALYM,Russian Federation,1993,16,8
Medavia,MDM,N5,MEDAVIA,Malta,1978,,8
Sky Angkor Airlines,SWM,ZA,SKY ANGKOR,,2011,3,3
TAR Aerolineas,LCT,,TAR,,2012,16,3
VIM Airlines,MOV,NN,MOV AIR,Russian Federation,2000,15,12
Air Montmagny,,,,,1954,,3
China Airlines,CAL,CI,DYNASTY,Taiwan; Republic of China,1959,114,88
InterJet,INJ,,INJET,,,,8
Mediterranean Air Freight,MDF,,MED-FREIGHT,,2003,,4
Sky Aviation (Indonesia),,,,,2010,21,12
Tara Air,,,TARA AIR,,2009,14,9
VIM-Aviaservice,MVY,,,,2004,,
Aerostar Airlines,UAR,,AEROSTAR,,,,9
Komiaviatrans,,KO,,,1998,,
Med-View Airline,MEV,VL,MED-VIEW,,2004,7,4
R Airlines,RCT,RK,GREEN SKY,,2012,2,2
Sky Aviation (Sierra Leone),SSY,,SIERRA SKY,,,,
Tarco Airlines,TRQ,,AIRTARCO,,,,
Vincent Aviation,VAL,BF,VINCENT,Canada,1992,,6
Aerosucre,KRE,6N,AEROSUCRE,Colombia,1969,,13
China Eastern Airlines,CES,MU,CHINA EASTERN,China,1988,217,405
Eastern SkyJets,ESJ,EE,EASTERN SKYJETS,,2004,,5
Gading Sari,GSB,,GADING SARI,,,,
R1 Airlines,TSH,,TRANSCANADA,,2003,,8
Sky Bishkek,,GY,,,2012,3,1
Vintage Props and Jets,VPP,VQ,VINTAGE,United States,1991,8,4
Air Namibia,NMB,SW,NAMIBIA,Namibia,,15,10
AMC Airlines,AMV,YJ,AMC AIRLINES,,1992,,1
China Express Airlines,HXA,G5,CHINA EXPRESS,,2006,,16
EastIndo,ESD,,EASTINDO,,,,1
GainJet Aviation,GNJ,,GAIN JET,,2006,,8
Mega Aircompany,MGK,,MEGLA,,,3,1
Ocean Sky UK,OCS,,OCEAN SKY,,2003,,13
RACSA (airline),,R6,RACSA,,,,2
TAROM,ROT,RO,TAROM,Romania,1954,76,23
Aerosvit Airlines,AEW,VV,AEROSVIT,Ukraine,1994,107,4
Air National,NTL,,NATIONAL,,1989,,
China Flying Dragon Aviation,CFA,,FEILONG,,1981,,
Eastland Air,ILA,DK,,,,,
Galaxie Corporation,,,,,,,
International AirLink,IAL,I4,,,1996,,
Korea Express Air,KEA,XE,KOREA EXPRESS,,2005,3,2
Mega Maldives,MEG,LV,SANDBAR,,2010,7,5
Oceanair,,TJ,,,,,
RAF-Avia,MTL,,MITAVIA,,1990,,7
Virgin America,VRD,VX,REDWOOD,United States,2004,23,55
AeroTACA,ATK,,AEROTACA,,1965,,
Air Nelson,RLK,NZ,LINK,,1979,17,23
Bemidji Airlines,BMJ,CH,BEMIDJI,United States,1946,,10
International Business Air,IBZ,6I,INTERBIZ,Sweden,1983,,2
Korean Air,KAL,KE,KOREANAIR,Korea; Republic of,1946,135,164
Sky Express (Greece),SEH,GQ,AIR CRETE,Greece,,18,5
Tasair,,TA,,,1965,4,12
Virgin Atlantic,VIR,VS,VIRGIN,,1984,31,40
America West Express,ASH,RP,AIR SHUTTLE,,,59,43
Benin Golf Air,BGL,A8,BENIN GOLF,Benin,2002,,1
InterSky,ISK,3L,INTERSKY,Austria,2001,19,5
Ram Air Freight,REX,,RAM EXPRESS,,1982,37,30
Sky Gabon,SKG,GV,SKY GABON,,2006,5,
Virgin Atlantic Airways,VIR,VS,VIRGIN,United Kingdom,,35,39
American Airlines,AAL,AA,AMERICAN,United States,1928,344,945
Bergen Air Transport,BGT,,BERGEN AIR,,1998,2,3
Gama Aviation,GAJ,,GAMA,,1983,,3
Interstate Airlines,FWA,I4,FREEWAYAIR,Netherlands,2005,,1
MenaJet,MNJ,IM,MENAJET,Lebanon,2003,,1
Odyssey Airlines,,,,,2010,,0
Tassili Airlines,DTH,SF,TASSILI AIRLINES,Algeria,1998,21,12
American Eagle (airline brand),,,,,1984,160,290
Easy Link Aviation,FYE,,FLY ME,,,,4
Intira Airlines,BCC,,THAI BIZ,,2008,4,2
Korongo Airlines,KGO,ZC,CONGO STAR,,2009,4,1
Meraj Airlines,MRJ,JI,MERAJ,,2010,20,13
Ravn Alaska,RVF,,RAVN,,,92,73
Sky Georgia,GFG,QB,NATIONAL,Georgia,1998,,1
Air New Zealand,ANZ,NZ,NEW ZEALAND,New Zealand,1940,55,107
American Eagle Airlines,EGF,MQ,EAGLE FLIGHT,United States,,160,264
Bering Air,BRG,8E,BERING AIR,United States,1979,29,21
China Southern Airlines,CSN,CZ,CHINA SOUTHERN,China,1988,190,510
EasyFly,EFY,EF,EASYFLY,,2006,16,17
Merchant Express Aviation,MXX,,MERCHANT,,,,1
Okada Air,OKJ,,OKADA AIR,,,,
Raya Jet,RYT,,,,2005,,1
Sky King; Inc.,SGB,,SONGBIRD,,,27,10
AeroUnion,TNO,,AEROUNION,,1998,4,6
Air New Zealand Link,EAG,NM,EAGLE,New Zealand,,22,56
Berjaya Air,BVT,J8,BERJAYA,Malaysia,1989,4,7
EasyJet,EZY,U2,EASY,United Kingdom,1995,134,218
Meridian Airways,MAG,,MERID AIR,,2007,,5
Okay Airways,OKA,BK,OKAYJET,China,2004,16,27
Rayyan Air,RAB,,,,,,3
Virgin Australia,VOZ,VA,VELOCITY,Australia,2000,50,110
Berkut Air,BEC,,BEC,,2000,,2
China United Airlines,CUA,KN,LIANHANG,,1986,20,33
EasyJet Switzerland,EZS,DS,TOPSWISS,,1988,41,24
Kosmos Airlines,KSM,K6,KOSMOS,,1995,,4
OKI Air International,,,,,1993,,2
Reading Air Charter,,,,,,,2
Sky Pasada,WCC,SP,SKY PASADA,,2010,11,8
China Xinhua Airlines,CXH,XW,XINHUA,China,1992,,16
EasySky,EKY,,,,,,2
Garuda Indonesia,GIA,GA,INDONESIA,Indonesia,1949,102,136
Kosova Airlines,KOS,,KOSOVA,,2003,11,1
Meridiana,ISS,IG,MERIDIANA,,,51,16
Sky Regional Airlines,SKV,RS,MAPLE,,2010,17,20
Virgin Australia Regional Airlines,VOZ,VA,VELOCITY,,1963,24,39
Aerovías DAP,DAP,V5,DAP,,1979,5,23
Gatari Air Service,GHS,,GATARI,,1983,,5
IrAero,IAE,IO,IRAERO,,1999,10,29
Krabi Airline,KIR,,KRABI AIRLINE,,,,
Merlin Airways,MEI,,AVALON,,1983,,6
Sky Service (Kazakhstan),KVR,,KAVAIR,,2004,,17
Air Niamey,AWN,A7,AIR NIAMEY,,2007,,
Ameriflight,AMF,A8,AMFLIGHT,United States,1968,,218
Berry Aviation,BYA,,BERRY,,1983,,24
EcoJet (airline),ECO,,ECOJET,,2013,9,4
Gazpromavia,GZP,4G,GAZPROM,Russian Federation,1995,13,22
Iran Air,IRA,IR,IRAN AIR,Iran; Islamic Republic of,1944,60,51
Merlin Express,MEI,,MERIN EXPRESS,,,6,11
Olympic Air,OAL,OA,OLYMPIC,,,18,14
Virgin Galactic,VGX,,GALACTIC,,2004,,
Air Nicaragua,,,,,2011,,2
Amerijet International,AJT,M6,AMERIJET,United States,1974,52,9
Berytos Airlines,BYR,,,,2003,,1
Chitaavia,CHF,X7,CHITA,,1991,,
Ecuato Guineana,GGE,,ECUATO GUINEA,,1986,,1
Iran Air Tours,IRB,B9,AIR TOUR,Iran; Islamic Republic of,,16,10
KrasAvia,SSJ,K9,SIBERIAN SKY,,1956,35,45
Merpati Nusantara Airlines,MNA,MZ,MERPATI,Indonesia,1962,84,39
Red Wings Airlines,RWZ,WZ,RED WINGS,,1999,20,11
Sky Shuttle Helicopters,EMU,,EAST ASIA,,1997,3,6
Virgin Samoa,VOZ,VA,VELOCITY,,2005,4,1
Choice Airways,CSX,,CHOICE AIR,,2009,,2
Mesa Airlines,ASH,YV,AIR SHUTTLE,United States,1980,165,110
Rediske Air,,,,,1991,,6
Vision Air International,VIS,,DREAM BIRD,,2006,,1
Aerovis Airlines,VIZ,V6,AEROVIZ,,2003,,4
Ameristar Jet Charter,AJI,,AMERISTAR,,2000,,23
Chongqing Airlines,CQN,OQ,CHONG QING,China,2007,28,11
Edelweiss Air,EDW,WK,EDELWEISS,Switzerland,1995,54,7
Iran Aseman Airlines,IRC,EP,ASEMAN,Iran; Islamic Republic of,1970,54,37
Oman Air,,WY,OMAN AIR,,1993,46,39
Aerovista,,,,,1999,,6
Amjet Executive,AMJ,,AMJET EXEC,,,,
Genex,GNX,,AEROGENEX,,1997,2,2
Iranian Air Transport,IRG,,NAFT,,,,9
Omega Aerial Refueling Services,OME,,,,,,
Sky Wings Airlines,GSW,ND,ARROW JET,,2004,,7
Vision Airlines,RBY,V2,RUBY,,1994,11,19
BH Air,BGH,1B,BALKAN HOLIDAYS,Bulgaria,2001,,6
Egoli Air,,,,,1996,,4
Gensa,GEN,,GENSA-BRASIL,,,,2
Iranian Naft Airlines,IRG,NV,NAFT,,1992,,11
Kullaflyg,BRX,DC,BRAATHENS,,2003,5,3
Omni Air International,OAE,OY,OMNI-EXPRESS,United States,1983,,11
Regent Airways,RGE,RX,REGENT,,2010,9,5
Sky Wings Asia Airlines,SWM,ZA,SKY ANGKOR,,,3,3
VistaJet,VJS,,VISTA JET,,2004,,35
Aexpa,,,,,2001,,
Air Niugini,ANG,PX,NIUGINI,Papua New Guinea,1973,35,24
Chukotavia,,,,,1996,,6
EgyptAir,MSR,MS,EGYPTAIR,Egypt,,78,65
Iraqi Airways,IAW,IA,IRAQI,Iraq,1945,38,31
Kulula.com,CAW,MN,COMAIR,South Africa,2001,6,11
Omni Aviation,OAV,OC,OMNI,,1988,,45
Sky Work Airlines,SRK,SX,SKYFOX,,,15,7
VistaJet Holding SA,VJS,,VISTA JET,,,,30
Air North,ANT,4N,AIR NORTH,Canada,1977,10,11
ANA Wings,AKX,EH,ALFA WING,Japan,2010,25,33
Bhutan Airlines,BTN,B3,BHUTAN AIR,,2011,5,2
Georgian International Airlines,GNN,,GEO-LINE,,2004,15,2
IRS Airlines,LVB,,SILVERBIRD,,2002,6,6
Kunming Airlines,KNA,KY,KUNMING AIR,,2005,21,17
SkyAir,,S8,SKY AIR,,2009,6,1
Vistara,VTI,UK,VISTARA,,2013,12,7
Afghan Jet International,AJA,HN,AJA,,2013,6,2
Air Norway,NFA,M3,NORTH FLYING,Denmark,2003,3,1
AnadoluJet,THY,TK,TURKISH,,2008,37,32
Cielos Airlines,CIU,A2,CIELOS,Peru,1997,22,10
EgyptAir Express,MSE,MS,EGYPTAIR EXPRESS,Egypt,,14,12
Irtysh Air,MZA,IH,AZAMAT,,,6,3
Kurdistan Airlines,,,,,2004,,
Metrojet Ltd.,MTJ,,METROJET,,1995,,33
RegionAir,,,,,2007,3,1
Ten Airways,OTJ,X5,,,,,5
Afra Airlines,UAG,,AFRALINE,,,,
Air Nostrum,ANE,YW,NOSTRU AIR,Spain,1994,58,40
Big Island Air,BIG,,BIG ISLE,,1985,,2
Cimber (airline),CIM,QA,CIMBER,,2012,,12
Ishtar Airlines,,,ISHTAR,,2005,2,1
Kuwait Airways,KAC,KU,KUWAITI,Kuwait,,34,23
Metropolis (airline),MPS,DN,METRO REGIONAL,,,,
One Airlines,ONS,,,,2013,4,3
Regional 1,TSH,,TRANSCANADA,,,,12
SkyBahamas Airlines,SBM,Q7,TROPICAL SKY,,2006,11,7
Afric Aviation,,L8,,,2011,,1
Andes Líneas Aéreas,ANS,OY,AEROANDES,Argentina,2006,3,6
El Al,ELY,LY,EL AL,Israel,1948,52,41
Island Air,MKU,WP,MOKU,United States,,8,6
OneJet,,J1,,,,5,3
Regional Air,REG,QT,REGIONAL SERVICES,,1997,4,4
Africa One,CFR,,,,2002,,
Air Nunavut,BFF,,AIR BAFFIN,,1989,,7
Cinnamon Air,CIN,,CINNAMON,,2012,9,3
Germania (airline),GMI,ST,GERMANIA,Germany,1978,42,22
Island Air (Hawaii),MKU,WP,MOKU,,1980,3,5
One-Two-GO Airlines,OTG,OG,THAI EXPRESS,Thailand,2003,7,8
Skybus (Aqua Avia),,,,,,,2
VivaAerobus,VIV,VB,AEROENLACES,Mexico,,31,17
Africa West Airlines,WTA,FK,WEST TOGO,Togo,1997,,
Angara Airlines,AGU,,SARMA,,2000,19,27
Bighorn Airways,BHR,,BIGHORN AIR,,1947,,20
Elbe Air,LBR,,MOTION,,,,
Germania Flug,GSW,GM,EIGER,,2014,16,2
Island Air Charters,,,,,,,2
Kyrgyz International Airlines,KYL,N5,KYRMAL,,,,
Ontario Central Airlines,NUN,,NUNASI,,1947,,22
VivaAerobús,VIV,VB,VIVA/AEROENLACES,,2006,25,28
Africa World Airlines,AFW,AW,BLACKSTAR,,2010,4,3
Air One Nine Company,ONR,N6,EDER,,2004,,2
Biman Bangladesh Airlines,BBC,BG,BANGLADESH,Bangladesh,,21,12
Germanwings,GWI,4U,GERMAN WINGS,Germany,1997,86,83
Island Airlines,ISA,IS,ISLAND,,,2,13
Kyrgyz Trans Avia,KTC,,,,2009,,2
Regional Air Lines,RGL,FN,MAROC REGIONAL,Morocco,,18,12
Texas Sky,VTE,,VOLUNTEER,,,4,1
VivaColombia,VVC,FC,VIVA COLOMBIA,,2009,10,
Bin Air,BID,,BINAIR,,1996,,9
Citilink,CTV,QG,SUPERGREEN,,2001,16,35
Gestair,GES,G5,GESTAIR,Spain,,,24
Island Aviation,SOY,Q2,SORIANO,,2003,,3
Kyrgyzstan,LYN,QH,ALTYN AVIA,Kyrgyzstan,,10,6
Onur Air,OHY,8Q,ONUR AIR,Turkey,,21,25
Regional Air Services (Tanzania),REG,,REGIONAL SERVICES,,,,4
Vladivostok Air,VLK,XF,VLADAIR,Russian Federation,1932,42,23
African Express Airways,AXK,XU,EXPRESS JET,Kenya,1986,13,7
Angola Air Charter,AGO,,ANGOLA CHARTER,,1987,,2
E-Liner Airways,ELA,EL,E-LINER,,1993,,
Island Express Air,IAX,,ABBY AIR,,2009,5,5
OpenSkies,BOS,EC,MISTRAL,United Kingdom,2008,3,3
Thai AirAsia,AIQ,FD,THAI ASIA,Thailand,2003,32,44
